Position,Symbol,Type,Volume,Open time,Open price,Close time,Close price,Open origin,Close origin,Purchase value,Sale value,SL,TP,Margin,Commission,Swap,Rollover,Gross P/L,Comment
2087960758,PFE.US,BUY,1,2025-10-14 17:47:59,24.6,2025-12-30 15:31:45,25,xStation 5,xStation 5,518.74,512.35,,,,0,0,0,-6.39,
Total,,,,,,,,,,,,,,,0,0,0,-6.39,
