VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,02/09/2018 01:54:27 PM,02/09/2018 02:21:07 PM,1,9.5,1,N,138,229,1,28,0,0.5,8.6,5.76,0.3,43.16
2,02/09/2018 01:16:09 PM,02/09/2018 01:33:11 PM,5,4.87,1,N,33,79,1,17,0,0.5,0,0,0.3,17.8
2,02/09/2018 01:34:13 PM,02/09/2018 01:54:24 PM,5,2.87,1,N,79,246,2,15.5,0,0.5,0,0,0.3,16.3
1,02/09/2018 01:29:34 PM,02/09/2018 01:35:03 PM,1,0.8,1,N,230,100,2,5.5,0,0.5,0,0,0.3,6.3
1,02/09/2018 01:44:15 PM,02/09/2018 02:02:33 PM,1,2,1,N,186,142,2,12.5,0,0.5,0,0,0.3,13.3
1,02/09/2018 01:00:37 PM,02/09/2018 01:09:57 PM,1,0.7,1,N,263,236,2,7,0,0.5,0,0,0.3,7.8
1,02/09/2018 01:31:00 PM,02/09/2018 01:38:35 PM,1,0.9,1,N,236,237,1,6.5,0,0.5,1.45,0,0.3,8.75
1,02/09/2018 01:39:37 PM,02/09/2018 01:46:55 PM,1,0.8,1,N,237,236,1,6.5,0,0.5,1.45,0,0.3,8.75
1,02/09/2018 01:49:14 PM,02/09/2018 02:05:18 PM,1,2,1,N,236,151,1,12.5,0,0.5,0,0,0.3,13.3
1,02/09/2018 01:08:21 PM,02/09/2018 01:17:07 PM,1,1.2,1,N,229,161,1,7.5,0,0.5,2.05,0,0.3,10.35
1,02/09/2018 01:19:45 PM,02/09/2018 01:32:43 PM,3,2.2,1,N,161,79,1,10.5,0,0.5,2.25,0,0.3,13.55
1,02/09/2018 01:47:39 PM,02/09/2018 01:54:29 PM,2,1.3,1,N,233,141,1,7,0,0.5,0.5,0,0.3,8.3
1,02/09/2018 01:56:38 PM,02/09/2018 02:38:24 PM,2,13.9,1,N,141,67,2,42,0,0.5,0,0,0.3,42.8
2,02/09/2018 01:17:06 PM,02/09/2018 01:22:02 PM,2,0.78,1,N,263,140,1,5.5,0,0.5,1.26,0,0.3,7.56
2,02/09/2018 01:25:24 PM,02/09/2018 01:46:25 PM,2,2.99,1,N,140,48,2,14.5,0,0.5,0,0,0.3,15.3
1,02/09/2018 01:50:04 PM,02/09/2018 02:02:40 PM,2,2.1,1,N,148,88,1,10.5,0,0.5,2.8,0,0.3,14.1
2,02/09/2018 01:50:08 PM,02/09/2018 02:27:29 PM,2,11.4,1,N,230,138,1,36.5,0,0.5,2.8,5.76,0.3,45.86
2,02/09/2018 01:16:16 PM,02/09/2018 01:20:44 PM,1,1.25,1,N,43,239,2,6,0,0.5,0,0,0.3,6.8
2,02/09/2018 01:23:52 PM,02/09/2018 01:40:50 PM,1,2.37,1,N,142,186,1,12.5,0,0.5,2.66,0,0.3,15.96
2,02/09/2018 01:44:15 PM,02/09/2018 02:36:02 PM,1,17.23,2,N,186,132,1,52,0,0.5,11.71,5.76,0.3,70.27
2,02/09/2018 01:21:41 PM,02/09/2018 01:21:52 PM,1,0,2,N,132,132,1,52,0,0.5,14.64,5.76,0.3,73.2
1,02/09/2018 01:22:03 PM,02/09/2018 01:24:26 PM,1,0.5,1,N,237,237,1,4,0,0.5,0.95,0,0.3,5.75
1,02/09/2018 01:26:31 PM,02/09/2018 01:32:17 PM,1,1.2,1,N,237,236,1,6.5,0,0.5,1,0,0.3,8.3
1,02/09/2018 01:52:25 PM,02/09/2018 02:02:58 PM,1,1.3,1,N,263,237,1,8,0,0.5,1.2,0,0.3,10
1,02/09/2018 01:22:14 PM,02/09/2018 01:48:43 PM,1,2.8,1,N,230,158,1,17,0,0.5,3.55,0,0.3,21.35
2,02/09/2018 01:16:08 PM,02/09/2018 01:22:40 PM,1,0.82,1,N,125,158,2,6,0,0.5,0,0,0.3,6.8
2,02/09/2018 01:28:04 PM,02/09/2018 01:43:57 PM,1,2.02,1,N,246,246,2,10.5,0,0.5,0,0,0.3,11.3
2,02/09/2018 01:44:46 PM,02/09/2018 01:48:29 PM,1,0.98,1,N,48,142,1,5,0,0.5,2,0,0.3,7.8
2,02/09/2018 01:49:19 PM,02/09/2018 02:04:11 PM,1,2.74,1,N,142,158,1,12,0,0.5,2.56,0,0.3,15.36
1,02/09/2018 01:50:20 PM,02/09/2018 02:38:46 PM,1,14,1,N,138,158,1,45.5,0,0.5,7.81,5.76,0.3,59.87
1,02/09/2018 01:04:16 PM,02/09/2018 01:15:42 PM,1,1.4,1,N,264,264,1,9,0,0.5,1.47,0,0.3,11.27
1,02/09/2018 01:18:49 PM,02/09/2018 01:34:29 PM,1,2.3,1,N,264,264,1,11.5,0,0.5,2.45,0,0.3,14.75
1,02/09/2018 01:43:59 PM,02/09/2018 01:59:48 PM,1,1.5,1,N,264,264,1,10.5,0,0.5,1.13,0,0.3,12.43
2,02/09/2018 01:18:01 PM,02/09/2018 01:33:05 PM,1,1.54,1,N,163,233,1,10.5,0,0.5,2.26,0,0.3,13.56
2,02/09/2018 01:05:17 PM,02/09/2018 01:11:48 PM,1,0.53,1,N,263,43,2,6,0,0.5,0,0,0.3,6.8
2,02/09/2018 01:13:37 PM,02/09/2018 01:31:03 PM,1,2.7,1,N,43,234,1,13.5,0,0.5,4.29,0,0.3,18.59
2,02/09/2018 01:32:25 PM,02/09/2018 01:39:35 PM,1,0.46,1,N,234,90,1,6,0,0.5,1.36,0,0.3,8.16
1,02/09/2018 01:58:03 PM,02/09/2018 02:07:41 PM,1,2,1,N,229,236,1,9,0,0.5,2.45,0,0.3,12.25
1,02/09/2018 01:04:40 PM,02/09/2018 01:18:51 PM,2,1.8,1,N,211,90,1,10.5,0,0.5,2.25,0,0.3,13.55
1,02/09/2018 01:27:07 PM,02/09/2018 02:24:02 PM,1,17.6,2,N,186,132,1,52,0,0.5,8,5.76,0.3,66.56
2,02/09/2018 01:11:09 PM,02/09/2018 01:21:13 PM,1,1.4,1,N,114,234,2,8.5,0,0.5,0,0,0.3,9.3
2,02/09/2018 01:32:52 PM,02/09/2018 01:39:40 PM,1,0.95,1,N,170,162,1,6.5,0,0.5,2,0,0.3,9.3
2,02/09/2018 01:42:50 PM,02/09/2018 02:03:12 PM,1,1.92,1,N,162,50,2,13,0,0.5,0,0,0.3,13.8
2,02/09/2018 01:09:20 PM,02/09/2018 01:23:19 PM,1,1.77,1,N,236,161,1,11,0,0.5,2.36,0,0.3,14.16
2,02/09/2018 01:28:19 PM,02/09/2018 01:29:53 PM,1,0.35,1,N,43,43,2,3.5,0,0.5,0,0,0.3,4.3
2,02/09/2018 01:37:44 PM,02/09/2018 01:40:47 PM,1,0.58,1,N,142,239,1,4.5,0,0.5,1.06,0,0.3,6.36
2,02/09/2018 01:49:08 PM,02/09/2018 02:14:05 PM,1,6.27,1,N,239,231,1,23.5,0,0.5,4.86,0,0.3,29.16
2,02/09/2018 01:10:27 PM,02/09/2018 01:29:41 PM,1,3.04,1,N,13,234,1,15,0,0.5,0,0,0.3,15.8
2,02/09/2018 01:31:26 PM,02/09/2018 01:41:37 PM,1,1.64,1,N,234,4,2,8.5,0,0.5,0,0,0.3,9.3
2,02/09/2018 01:47:10 PM,02/09/2018 02:16:39 PM,1,2.87,1,N,79,230,1,18.5,0,0.5,3.86,0,0.3,23.16
2,02/09/2018 01:05:45 PM,02/09/2018 01:25:40 PM,3,2.13,1,N,140,238,2,14,0,0.5,0,0,0.3,14.8
2,02/09/2018 01:28:20 PM,02/09/2018 01:47:20 PM,3,2.21,1,N,239,237,1,13.5,0,0.5,2.86,0,0.3,17.16
1,02/09/2018 01:13:56 PM,02/09/2018 01:28:35 PM,1,1.1,1,N,170,186,2,10,0,0.5,0,0,0.3,10.8
1,02/09/2018 01:33:39 PM,02/09/2018 01:59:10 PM,1,4.3,1,N,100,231,2,20,0,0.5,0,0,0.3,20.8
1,02/09/2018 01:15:45 PM,02/09/2018 01:23:05 PM,1,1,1,N,79,4,1,6.5,0,0.5,1.45,0,0.3,8.75
1,02/09/2018 01:32:42 PM,02/09/2018 01:44:09 PM,1,1,1,N,107,234,2,8.5,0,0.5,0,0,0.3,9.3
1,02/09/2018 01:52:11 PM,02/09/2018 02:22:57 PM,1,3.3,1,N,234,237,1,20,0,0.5,3.12,0,0.3,23.92
1,02/09/2018 01:43:00 PM,02/09/2018 01:51:33 PM,1,0.9,1,N,79,144,1,7,0,0.5,1,0,0.3,8.8
1,02/09/2018 01:56:09 PM,02/09/2018 02:11:27 PM,1,2.6,1,N,231,246,1,12.5,0,0.5,2.65,0,0.3,15.95
1,02/09/2018 01:11:46 PM,02/09/2018 01:15:00 PM,1,0.4,1,N,161,161,1,4,0,0.5,0.95,0,0.3,5.75
1,02/09/2018 01:16:20 PM,02/09/2018 01:51:32 PM,1,3.2,1,Y,170,231,1,21.5,0,0.5,5,0,0.3,27.3
1,02/09/2018 01:54:05 PM,02/09/2018 01:56:23 PM,1,0.2,1,N,231,231,1,3.5,0,0.5,0.85,0,0.3,5.15
1,02/09/2018 01:59:23 PM,02/09/2018 02:16:19 PM,1,3.3,1,N,13,234,1,14,0,0.5,3.7,0,0.3,18.5
2,02/09/2018 01:35:34 PM,02/10/2018 12:56:07 PM,1,21.11,2,N,132,161,2,52,0,0.5,0,5.76,0.3,58.56
2,02/09/2018 01:04:37 PM,02/09/2018 01:13:46 PM,5,2.27,1,N,143,166,1,9,0,0.5,1.96,0,0.3,11.76
2,02/09/2018 01:23:32 PM,02/09/2018 01:36:53 PM,5,1.87,1,N,238,142,2,10.5,0,0.5,0,0,0.3,11.3
2,02/09/2018 01:39:19 PM,02/09/2018 01:45:02 PM,5,0.78,1,N,142,163,1,5.5,0,0.5,1.2,0,0.3,7.5
2,02/09/2018 01:49:10 PM,02/09/2018 01:59:01 PM,5,1.24,1,N,163,164,1,8,0,0.5,1.76,0,0.3,10.56
2,02/09/2018 01:47:01 PM,02/09/2018 02:12:51 PM,1,7.77,1,N,236,209,2,27.5,0,0.5,0,0,0.3,28.3
1,02/09/2018 01:02:06 PM,02/09/2018 01:05:05 PM,1,0.3,1,N,236,236,2,4,0,0.5,0,0,0.3,4.8
1,02/09/2018 01:07:16 PM,02/09/2018 01:16:45 PM,1,1.5,1,N,236,238,1,8.5,0,0.5,1.5,0,0.3,10.8
1,02/09/2018 01:33:07 PM,02/09/2018 01:38:36 PM,2,0.6,1,N,239,142,1,5.5,0,0.5,1.5,0,0.3,7.8
1,02/09/2018 01:50:44 PM,02/09/2018 02:04:28 PM,1,1.6,1,N,142,140,2,10.5,0,0.5,0,0,0.3,11.3
1,02/09/2018 01:08:56 PM,02/09/2018 01:18:17 PM,1,2,1,N,162,236,1,8.5,0,0.5,0.93,0,0.3,10.23
1,02/09/2018 01:22:56 PM,02/09/2018 01:34:10 PM,1,1.3,1,N,263,238,1,9,0,0.5,1.95,0,0.3,11.75
1,02/09/2018 01:43:00 PM,02/09/2018 01:56:53 PM,1,2.3,1,N,142,263,2,11,0,0.5,0,0,0.3,11.8
1,02/09/2018 01:59:04 PM,02/09/2018 02:06:40 PM,1,0.9,1,N,263,236,1,6.5,0,0.5,1.45,0,0.3,8.75
2,02/09/2018 01:13:28 PM,02/09/2018 01:17:31 PM,1,0.78,1,N,239,142,1,5,0,0.5,1.45,0,0.3,7.25
2,02/09/2018 01:25:32 PM,02/10/2018 01:17:31 PM,1,0.75,1,N,143,142,1,5.5,0,0.5,0,0,0.3,6.3
2,02/09/2018 01:43:57 PM,02/09/2018 02:01:03 PM,1,3.65,1,N,142,43,1,14.5,0,0.5,4,0,0.3,19.3
2,02/09/2018 01:05:44 PM,02/09/2018 01:14:19 PM,2,1.3,1,N,262,236,2,7.5,0,0.5,0,0,0.3,8.3
2,02/09/2018 01:17:29 PM,02/09/2018 01:29:31 PM,2,1.08,1,N,236,262,1,9,0,0.5,0.5,0,0.3,10.3
2,02/09/2018 01:47:07 PM,02/09/2018 02:07:43 PM,2,4.48,1,N,237,68,1,17.5,0,0.5,3.66,0,0.3,21.96
1,02/09/2018 01:13:06 PM,02/09/2018 01:20:57 PM,1,1.5,1,N,162,237,1,7.5,0,0.5,1.66,0,0.3,9.96
1,02/09/2018 01:25:32 PM,02/09/2018 01:26:42 PM,1,0.4,1,N,237,236,1,3.5,0,0.5,0.85,0,0.3,5.15
1,02/09/2018 01:47:28 PM,02/09/2018 02:06:28 PM,1,3.1,1,N,43,234,1,14.5,0,0.5,3.05,0,0.3,18.35
1,02/09/2018 01:20:52 PM,02/09/2018 01:56:01 PM,2,17.3,2,N,132,229,1,52,0,0.5,11.7,5.76,0.3,70.26
1,02/09/2018 01:02:31 PM,02/09/2018 01:13:33 PM,1,1.4,1,N,43,161,2,9,0,0.5,0,0,0.3,9.8
1,02/09/2018 01:14:13 PM,02/09/2018 01:37:50 PM,1,3.1,1,N,161,151,1,16.5,0,0.5,2.5,0,0.3,19.8
1,02/09/2018 01:38:48 PM,02/09/2018 01:53:32 PM,1,1.5,1,N,151,239,1,10.5,0,0.5,2.25,0,0.3,13.55
2,02/09/2018 01:11:11 PM,02/09/2018 01:33:01 PM,1,4.15,1,N,230,231,1,18,0,0.5,4.7,0,0.3,23.5
2,02/09/2018 01:34:17 PM,02/09/2018 01:58:44 PM,1,13.27,3,N,231,1,1,54,0,0,12.96,10.5,0.3,77.76
2,02/09/2018 01:40:47 PM,02/09/2018 01:43:50 PM,1,0.49,1,N,236,237,2,4,0,0.5,0,0,0.3,4.8
2,02/09/2018 01:45:12 PM,02/09/2018 01:50:47 PM,1,0.7,1,N,237,141,2,5.5,0,0.5,0,0,0.3,6.3
2,02/09/2018 01:55:32 PM,02/09/2018 02:00:32 PM,1,0.89,1,N,141,236,1,5.5,0,0.5,1.89,0,0.3,8.19
2,02/09/2018 01:21:09 PM,02/09/2018 01:36:20 PM,1,2.01,1,N,161,236,1,11,0,0.5,2.36,0,0.3,14.16
2,02/09/2018 01:43:39 PM,02/09/2018 01:51:44 PM,1,0.98,1,N,237,236,2,7,0,0.5,0,0,0.3,7.8
2,02/09/2018 01:22:35 PM,02/09/2018 01:43:58 PM,1,2.51,1,N,164,140,1,14.5,0,0.5,3.06,0,0.3,18.36
2,02/09/2018 01:55:28 PM,02/09/2018 02:05:01 PM,1,1.2,1,N,236,239,1,8,0,0.5,1,0,0.3,9.8
2,02/09/2018 01:21:00 PM,02/09/2018 01:26:03 PM,1,1.13,1,N,237,233,1,6,0,0.5,1,0,0.3,7.8
2,02/09/2018 01:41:37 PM,02/09/2018 01:52:12 PM,1,2.6,1,N,137,79,1,10.5,0,0.5,1.7,0,0.3,13
2,02/09/2018 01:54:53 PM,02/09/2018 02:26:13 PM,1,5.09,1,N,79,230,1,23,0,0.5,4.76,0,0.3,28.56
2,02/09/2018 01:06:55 PM,02/09/2018 01:14:15 PM,2,0.56,1,N,161,100,1,6,0,0.5,1.36,0,0.3,8.16
2,02/09/2018 01:26:08 PM,02/09/2018 01:36:36 PM,2,1.25,1,N,186,161,1,8.5,0,0.5,2.32,0,0.3,11.62
2,02/09/2018 01:40:47 PM,02/09/2018 01:48:09 PM,2,1.58,1,N,163,239,1,7.5,0,0.5,1,0,0.3,9.3
2,02/09/2018 01:49:57 PM,02/09/2018 01:53:02 PM,2,0.47,1,N,239,239,2,4,0,0.5,0,0,0.3,4.8
1,02/09/2018 01:08:16 PM,02/09/2018 01:18:38 PM,4,1.5,1,N,161,234,1,8.5,0,0.5,2.75,0,0.3,12.05
1,02/09/2018 01:40:43 PM,02/09/2018 01:46:16 PM,1,0.6,1,N,68,48,1,5.5,0,0.5,1.25,0,0.3,7.55
1,02/09/2018 01:52:06 PM,02/09/2018 01:57:07 PM,1,0.2,1,N,161,161,2,5,0,0.5,0,0,0.3,5.8
2,02/09/2018 01:37:56 PM,02/09/2018 01:43:39 PM,1,1.02,1,N,264,264,1,6,0,0.5,1.36,0,0.3,8.16
2,02/09/2018 01:47:17 PM,02/09/2018 01:53:28 PM,1,0.85,1,N,264,264,2,6,0,0.5,0,0,0.3,6.8
2,02/09/2018 02:00:07 PM,02/09/2018 02:26:51 PM,1,2.98,1,N,238,140,1,18,0,0.5,3.76,0,0.3,22.56
2,02/09/2018 01:04:55 PM,02/09/2018 01:07:22 PM,1,0.62,1,N,263,75,2,4,0,0.5,0,0,0.3,4.8
2,02/09/2018 01:46:33 PM,02/09/2018 01:51:27 PM,1,0.64,1,N,141,237,2,5,0,0.5,0,0,0.3,5.8
1,02/09/2018 01:44:24 PM,02/09/2018 02:02:59 PM,1,2.9,1,N,144,246,1,14.5,0,0.5,2.3,0,0.3,17.6
2,02/09/2018 01:58:29 PM,02/09/2018 01:58:43 PM,1,0.83,2,N,132,132,1,52,0,0.5,10,5.76,0.3,68.56
1,02/09/2018 01:19:40 PM,02/09/2018 01:21:22 PM,1,0.3,1,N,166,166,1,3.5,0,0.5,0.85,0,0.3,5.15
1,02/09/2018 01:24:43 PM,02/09/2018 01:36:49 PM,2,1.8,1,N,166,239,1,10,0,0.5,1.62,0,0.3,12.42
1,02/09/2018 01:38:43 PM,02/09/2018 01:42:21 PM,1,0.3,1,N,239,142,1,4,0,0.5,0.95,0,0.3,5.75
1,02/09/2018 01:51:32 PM,02/09/2018 01:58:55 PM,2,1.2,1,N,142,229,1,7,0,0.5,1.17,0,0.3,8.97
2,02/09/2018 01:13:10 PM,02/09/2018 01:36:07 PM,2,3.93,1,N,186,262,1,17,0,0.5,4.45,0,0.3,22.25
2,02/09/2018 01:38:48 PM,02/09/2018 01:55:00 PM,2,2.31,1,N,262,142,2,12.5,0,0.5,0,0,0.3,13.3
2,02/09/2018 01:58:02 PM,02/09/2018 02:08:48 PM,2,1.63,1,N,239,236,2,9,0,0.5,0,0,0.3,9.8
2,02/09/2018 12:00:00 AM,02/09/2018 12:00:00 AM,2,0.99,1,N,161,137,1,10.5,0,0.5,2.26,0,0.3,13.56
2,02/09/2018 01:52:18 PM,02/09/2018 02:04:44 PM,2,1.2,1,N,234,114,1,9,0,0.5,1,0,0.3,10.8
2,02/09/2018 01:47:52 PM,02/09/2018 02:13:14 PM,1,3.73,1,N,230,4,2,17.5,0,0.5,0,0,0.3,18.3
2,02/09/2018 01:18:58 PM,02/09/2018 01:19:08 PM,1,0,1,N,138,138,1,2.5,0,0.5,0.66,0,0.3,3.96
2,02/09/2018 01:07:59 PM,02/09/2018 01:12:57 PM,1,0.7,1,N,137,224,2,5,0,0.5,0,0,0.3,5.8
2,02/09/2018 01:21:53 PM,02/09/2018 01:38:19 PM,1,2.45,1,N,107,140,1,12.5,0,0.5,4,0,0.3,17.3
1,02/09/2018 01:01:13 PM,02/09/2018 01:13:23 PM,1,1.3,1,N,43,237,1,9,0,0.5,1.95,0,0.3,11.75
1,02/09/2018 01:18:16 PM,02/09/2018 01:22:30 PM,1,0.6,1,N,237,237,1,4.5,0,0.5,1.05,0,0.3,6.35
1,02/09/2018 01:27:23 PM,02/09/2018 01:39:14 PM,1,1.8,1,N,237,162,2,10,0,0.5,0,0,0.3,10.8
1,02/09/2018 01:49:01 PM,02/09/2018 01:56:03 PM,1,1.2,1,N,233,137,1,7,0,0.5,1.55,0,0.3,9.35
1,02/09/2018 01:56:54 PM,02/09/2018 02:18:31 PM,2,9.7,1,N,137,138,1,28,0,0.5,3,5.76,0.3,37.56
2,02/09/2018 01:48:00 PM,02/09/2018 02:09:45 PM,1,1.98,1,N,113,87,1,14,0,0.5,2.96,0,0.3,17.76
1,02/09/2018 01:34:28 PM,02/09/2018 01:42:16 PM,2,0.5,1,N,164,230,2,6.5,0,0.5,0,0,0.3,7.3
1,02/09/2018 01:43:17 PM,02/09/2018 01:48:54 PM,2,0.4,1,N,230,48,2,5,0,0.5,0,0,0.3,5.8
1,02/09/2018 01:51:51 PM,02/09/2018 01:59:46 PM,2,1,1,N,48,48,2,7,0,0.5,0,0,0.3,7.8
2,02/09/2018 01:03:49 PM,02/09/2018 01:34:27 PM,1,5.85,1,N,79,41,1,23,0,0.5,3,0,0.3,26.8
