"legal_name","doing_business_as_name","license_description","application_type","license_status","zip_code","city","state","application_created_date","license_start_date","expiration_date"
"PREMIUM SURGE PROMOTIONS, LLC","PREMIUM SURGE PROMOTIONS, LLC","Limited Business License","RENEW","AAC","60610","CHICAGO","IL",,"2026-02-16T00:00:00.000","2028-02-15T00:00:00.000"
"PURE BEAUTY CORP","PURE BEAUTY","Limited Business License","ISSUE","REV","60616","CHICAGO","IL","2026-04-15T00:00:00.000","2026-04-15T00:00:00.000","2027-05-15T00:00:00.000"
"BABA'S MINI MARKET, INC.","BABA'S MINI MARKET, INC.","Retail Food Establishment","RENEW","REV","60621","CHICAGO","IL",,"2025-11-16T00:00:00.000","2027-11-15T00:00:00.000"
"BABA'S MINI MARKET, INC.","BABA'S MINI MARKET, INC.","Tobacco","RENEW","REV","60621","CHICAGO","IL",,"2025-11-16T00:00:00.000","2026-11-15T00:00:00.000"
"MICHIGAN FOOD MART & MORE INC.","MICHIGAN FOOD MART & MORE INC.","Tobacco","RENEW","REV","60653","CHICAGO","IL",,"2025-10-16T00:00:00.000","2026-10-15T00:00:00.000"
"ENFU BI","FU SPA","Limited Business License","ISSUE","REV","60630","CHICAGO","IL","2025-08-12T00:00:00.000","2025-08-22T00:00:00.000","2026-06-15T00:00:00.000"
"DEVON CITGO INC","Devon Shell","Retail Food Establishment","RENEW","REV","60660","CHICAGO","IL",,"2025-08-16T00:00:00.000","2027-08-15T00:00:00.000"
"DEVON CITGO INC","Devon Shell","Filling Station","RENEW","REV","60660","CHICAGO","IL",,"2025-08-16T00:00:00.000","2027-08-15T00:00:00.000"
"365 FOODMART CORPORATION","365 FOODMART CORPORATION","Retail Food Establishment","RENEW","REV","60644","CHICAGO","IL",,"2025-06-16T00:00:00.000","2027-06-15T00:00:00.000"
"PURE BEAUTY CORP","PURE BEAUTY","Limited Business License","RENEW","REV","60616","CHICAGO","IL",,"2025-05-16T00:00:00.000","2027-05-15T00:00:00.000"
"ELMOUINE1122 CORP.","ELMOUINE1122","Tobacco","RENEW","REV","60624","CHICAGO","IL",,"2025-06-16T00:00:00.000","2026-06-15T00:00:00.000"
"ELMOUINE1122 CORP.","ELMOUINE1122","Retail Food Establishment","RENEW","REV","60624","CHICAGO","IL",,"2025-06-16T00:00:00.000","2027-06-15T00:00:00.000"
"BREAD & OLIVE, INC.","MILK & HONEY CAFE","Retail Food Establishment","RENEW","REV","60622","CHICAGO","IL",,"2024-11-16T00:00:00.000","2026-11-15T00:00:00.000"
"PUFFS GROCERY DELI & GRILL, INC.","SAMS FOOD & DELI","Tobacco","RENEW","REV","60628","CHICAGO","IL",,"2025-05-16T00:00:00.000","2026-05-15T00:00:00.000"
"CC STOP SHOP DISCOUNT INC.","CC STOP SHOP DISCOUNT","Tobacco","RENEW","REV","60644","CHICAGO","IL",,"2024-08-16T00:00:00.000","2025-08-15T00:00:00.000"
"CC STOP SHOP DISCOUNT INC.","CC STOP SHOP DISCOUNT","Retail Food Establishment","RENEW","REV","60644","CHICAGO","IL",,"2024-08-16T00:00:00.000","2026-08-15T00:00:00.000"
"DHUWAN, INC.","SAMAH","Tobacco","RENEW","REV","60660","CHICAGO","IL",,"2025-04-16T00:00:00.000","2026-04-15T00:00:00.000"
"ADEEB FOOD MART, INC.","APPLE FOOD MART","Tobacco","RENEW","REV","60644","CHICAGO","IL",,"2024-05-16T00:00:00.000","2025-05-15T00:00:00.000"
"ZB CITI MANAGEMENT, INC.","CITI FOOD MART","Retail Food Establishment","RENEW","REV","60657","CHICAGO","IL",,"2025-03-16T00:00:00.000","2027-03-15T00:00:00.000"
"HR TRADING 1 INC.","NON STOP SMOKE","Tobacco","RENEW","REV","60629","CHICAGO","IL",,"2025-02-16T00:00:00.000","2026-02-15T00:00:00.000"
"PRISTINE UNITED, INC.","CHIC SMOKES","Tobacco","RENEW","REV","60640","CHICAGO","IL",,"2025-01-16T00:00:00.000","2026-01-15T00:00:00.000"
"A H FOODMART INC.","A H FOODMART","Tobacco","RENEW","REV","60624","CHICAGO","IL",,"2025-01-16T00:00:00.000","2026-01-15T00:00:00.000"
"A H FOODMART INC.","A H FOODMART","Retail Food Establishment","RENEW","REV","60624","CHICAGO","IL",,"2025-01-16T00:00:00.000","2027-01-15T00:00:00.000"
"RADHIKA ENTERPRISE INC","RYAN FOODS STORE","Retail Food Establishment","RENEW","REV","60630","CHICAGO","IL",,"2024-11-16T00:00:00.000","2026-11-15T00:00:00.000"
"MICHIGAN FOOD MART & MORE INC.","MICHIGAN FOOD MART & MORE INC.","Retail Food Establishment","RENEW","REV","60653","CHICAGO","IL",,"2024-10-16T00:00:00.000","2026-10-15T00:00:00.000"
"SIGHTNSOUND INC.","SIGHT AND SOUND","Tobacco","RENEW","REV","60607","CHICAGO","IL",,"2025-01-16T00:00:00.000","2026-01-15T00:00:00.000"
"K OM FOOD MART INC.","K OM FOOD MART","Retail Food Establishment","ISSUE","REV","60624","CHICAGO","IL","2024-06-11T00:00:00.000","2024-11-22T00:00:00.000","2026-06-15T00:00:00.000"
"HAMZA COMM, INC","HAMZA COMM, INC","Limited Business License","RENEW","REV","60644","CHICAGO","IL",,"2024-10-16T00:00:00.000","2026-10-15T00:00:00.000"
"EASY FUEL, INC.","FALCON FUEL","Tobacco","RENEW","REV","60644","CHICAGO","IL",,"2024-10-16T00:00:00.000","2025-10-15T00:00:00.000"
"LOJEEN INC","LOJEEN  INC.","Retail Food Establishment","RENEW","REV","60632","CHICAGO","IL",,"2024-10-16T00:00:00.000","2026-10-15T00:00:00.000"
"LOJEEN INC","LOJEEN  INC.","Tobacco","RENEW","REV","60632","CHICAGO","IL",,"2024-10-16T00:00:00.000","2025-10-15T00:00:00.000"
"FIRE & ICE CHICAGO, INC","FIRE AND ICE","Tobacco","RENEW","REV","60654","CHICAGO","IL",,"2024-11-16T00:00:00.000","2025-11-15T00:00:00.000"
"V-R-5 ENTERPRISES, INC.","SHELL GAS STATION","Retail Food Establishment","RENEW","REV","60636","CHICAGO","IL",,"2024-11-16T00:00:00.000","2026-11-15T00:00:00.000"
"V-R-5 ENTERPRISES, INC.","SHELL GAS STATION","Filling Station","RENEW","REV","60636","CHICAGO","IL",,"2024-11-16T00:00:00.000","2026-11-15T00:00:00.000"
"V-R-5 ENTERPRISES, INC.","SHELL GAS STATION","Tobacco","RENEW","REV","60636","CHICAGO","IL",,"2024-11-16T00:00:00.000","2025-11-15T00:00:00.000"
"LING LING SPA INC.","LING LING MASSAGE","Regulated Business License","RENEW","REV","60618","CHICAGO","IL",,"2024-08-16T00:00:00.000","2026-08-15T00:00:00.000"
"SMOKE VALLEY, LLC","SMOKE VALLEY","Tobacco","RENEW","REV","60614","CHICAGO","IL",,"2024-09-16T00:00:00.000","2025-09-15T00:00:00.000"
"CURLY'S DELI MART INC","CURLY'S DELI MART","Tobacco","RENEW","REV","60644","CHICAGO","IL",,"2024-05-16T00:00:00.000","2025-05-15T00:00:00.000"
"DI DA DI CHI LLC","DI DA DI CHI","Limited Business License","ISSUE","REV","60613","CHICAGO","IL","2024-07-15T00:00:00.000","2024-07-16T00:00:00.000","2026-08-15T00:00:00.000"
"WR INVESTMENTS CORP","FUMARE","Tobacco","RENEW","REV","60622","CHICAGO","IL",,"2024-08-16T00:00:00.000","2025-08-15T00:00:00.000"
"K OM FOOD MART INC.","K OM FOOD MART","Limited Business License","ISSUE","REV","60624","CHICAGO","IL","2024-05-17T00:00:00.000","2024-05-24T00:00:00.000","2026-06-15T00:00:00.000"
"KOU LING CORP.","KOU LING CORP.","Limited Business License","ISSUE","REV","60616","CHICAGO","IL","2024-05-24T00:00:00.000","2024-05-24T00:00:00.000","2026-06-15T00:00:00.000"
"1845 S STATE INC.","1845 S STATE INC.","Limited Business License","ISSUE","REV","60616","CHICAGO","IL","2024-05-16T00:00:00.000","2024-05-16T00:00:00.000","2026-06-15T00:00:00.000"
"PLANTX MIDWEST INC.","XMARKET","Package Goods","RENEW","REV","60613","CHICAGO","IL",,"2024-05-16T00:00:00.000","2026-05-15T00:00:00.000"
"PLANTX MIDWEST INC.","XMARKET","Retail Food Establishment","RENEW","REV","60613","CHICAGO","IL",,"2024-05-16T00:00:00.000","2026-05-15T00:00:00.000"
"PLANTX MIDWEST INC.","XMARKET","Consumption on Premises - Incidental Activity","RENEW","REV","60613","CHICAGO","IL",,"2024-05-16T00:00:00.000","2026-05-15T00:00:00.000"
"PLANTX MIDWEST INC.","XMARKET","Food - Shared Kitchen - Supplemental","RENEW","REV","60613","CHICAGO","IL",,"2024-05-16T00:00:00.000","2026-05-15T00:00:00.000"
"PUFFS GROCERY DELI & GRILL, INC.","SAMS FOOD & DELI","Retail Food Establishment","RENEW","REV","60628","CHICAGO","IL",,"2024-05-16T00:00:00.000","2026-05-15T00:00:00.000"
"MADISON PULASKI FOOD MART, INC.","MADISON PULASKI FOOD MART","Retail Food Establishment","RENEW","REV","60624","CHICAGO","IL",,"2024-04-16T00:00:00.000","2026-04-15T00:00:00.000"
"RON'S DOLLAR PLUS INC.","RON'S DOLLAR PLUS INC","Tobacco","RENEW","REV","60632","CHICAGO","IL",,"2024-06-16T00:00:00.000","2025-06-15T00:00:00.000"
"808 FOOD MART INC","808 FOOD MART INC","Retail Food Establishment","RENEW","REV","60620","CHICAGO","IL",,"2024-05-16T00:00:00.000","2026-05-15T00:00:00.000"
"DIAMOND LUXURY LLC","DIAMOND LUXURY","Limited Business License","ISSUE","REV","60612","CHICAGO","IL","2024-03-27T00:00:00.000","2024-03-27T00:00:00.000","2026-04-15T00:00:00.000"
"EMPIRE FOOD MART INC.","EMPIRE FOOD MART INC.","Retail Food Establishment","RENEW","REV","60636","CHICAGO","IL",,"2024-03-16T00:00:00.000","2026-03-15T00:00:00.000"
"HEAVEN ELEVEN GROUP LLC","HEAVEN ELEVEN","Tobacco","RENEW","REV","60639","CHICAGO","IL",,"2024-01-16T00:00:00.000","2025-01-15T00:00:00.000"
"ROMA'S RESTAURANT & BAR, INC.","ROMA'S RESTAURANT","Consumption on Premises - Incidental Activity","RENEW","REV","60617","CHICAGO","IL",,"2024-02-16T00:00:00.000","2026-02-15T00:00:00.000"
"ROMA'S RESTAURANT & BAR, INC.","ROMA'S RESTAURANT","Retail Food Establishment","RENEW","REV","60617","CHICAGO","IL",,"2024-02-16T00:00:00.000","2026-02-15T00:00:00.000"
"SOUF, INC.","SMOKEY'S TOBACCO AND CELLULAR","Tobacco","RENEW","REV","60608","CHICAGO","IL",,"2024-02-16T00:00:00.000","2025-02-15T00:00:00.000"
"SOUF, INC.","SMOKEY'S TOBACCO AND CELLULAR","Limited Business License","RENEW","REV","60608","CHICAGO","IL",,"2024-02-16T00:00:00.000","2026-02-15T00:00:00.000"
"THE ADAMS AND ADAMS, INC.","HAROLD' S OF CHICAGO","Retail Food Establishment","RENEW","REV","60649","CHICAGO","IL",,"2023-02-16T00:00:00.000","2025-02-15T00:00:00.000"
"SPEEDY CONVENIENT, INC.","SPEEDY CONVENIENT","Tobacco","RENEW","REV","60609","CHICAGO","IL",,"2024-03-16T00:00:00.000","2025-03-15T00:00:00.000"
"KEV, LIMITED","HALINA'S PUB","Retail Food Establishment","RENEW","REV","60638","CHICAGO","IL",,"2024-01-16T00:00:00.000","2026-01-15T00:00:00.000"
"KEV, LIMITED","HALINA'S PUB","Tavern","RENEW","REV","60638","CHICAGO","IL",,"2024-01-16T00:00:00.000","2026-01-15T00:00:00.000"
"EASY FUEL, INC.","FALCON FUEL","Retail Food Establishment","RENEW","REV","60644","CHICAGO","IL",,"2023-10-16T00:00:00.000","2025-10-15T00:00:00.000"
"EASY FUEL, INC.","FALCON FUEL","Filling Station","RENEW","REV","60644","CHICAGO","IL",,"2023-10-16T00:00:00.000","2025-10-15T00:00:00.000"
"DANDANA INC.","DANDANA INC.","Retail Food Establishment","RENEW","REV","60625","CHICAGO","IL",,"2023-12-16T00:00:00.000","2025-12-15T00:00:00.000"
"MSM TOBACCO WIRELESS, INC","SMOKE A LOT WIRELESS","Secondhand Dealer","RENEW","REV","60641","CHICAGO","IL",,"2023-05-16T00:00:00.000","2025-05-15T00:00:00.000"
"SIGHTNSOUND INC.","SIGHT AND SOUND","Tobacco","RENEW","REV","60607","CHICAGO","IL",,"2024-01-16T00:00:00.000","2025-01-15T00:00:00.000"
"FULTON FOODMART INC.,","FULTON FOODMART","Retail Food Establishment","RENEW","REV","60661","CHICAGO","IL",,"2023-11-16T00:00:00.000","2025-11-15T00:00:00.000"
"DIMITRIOS G DROUZAS","J. L. LOUNGE","Tavern","RENEW","REV","60641","CHICAGO","IL",,"2023-08-16T00:00:00.000","2025-08-15T00:00:00.000"
"CLAIR ENTERPRISES LLC","THE LYONS DEN","Public Place of Amusement","RENEW","REV","60622","CHICAGO","IL",,"2023-10-16T00:00:00.000","2025-10-15T00:00:00.000"
"CLAIR ENTERPRISES LLC","THE LYONS DEN","Tobacco","RENEW","REV","60622","CHICAGO","IL",,"2023-10-16T00:00:00.000","2024-10-15T00:00:00.000"
"CLUB 215, LLC","Lite","Public Place of Amusement","RENEW","REA","60654","CHICAGO","IL",,"2023-05-16T00:00:00.000","2025-05-15T00:00:00.000"
"CLUB 215, LLC","Lite","Tavern","RENEW","REA","60654","CHICAGO","IL",,"2023-05-16T00:00:00.000","2025-05-15T00:00:00.000"
"CONGRESS CORPORATION","CONGRESS CORPORATION","Public Place of Amusement","RENEW","REA","60647","CHICAGO","IL",,"2011-11-16T00:00:00.000","2013-11-15T00:00:00.000"
"CONGRESS CORPORATION","CONGRESS CORPORATION","Retail Food Establishment","RENEW","REA","60647","CHICAGO","IL",,"2011-11-16T00:00:00.000","2013-11-15T00:00:00.000"
"CONGRESS CORPORATION","CONGRESS CORPORATION","Consumption on Premises - Incidental Activity","RENEW","REA","60647","CHICAGO","IL",,"2011-11-16T00:00:00.000","2013-11-15T00:00:00.000"
"S. A. A. ENTERPRISES, INC.","S. A. A. FOOD & LIQUORS","Package Goods","RENEW","REA","60649","CHICAGO","IL",,"2010-12-16T00:00:00.000","2012-12-15T00:00:00.000"
"S. A. A. ENTERPRISES, INC.","S. A. A. FOOD & LIQUORS","Retail Food Establishment","RENEW","REA","60649","CHICAGO","IL",,"2010-12-16T00:00:00.000","2012-12-15T00:00:00.000"
"S. A. A. ENTERPRISES, INC.","S. A. A. FOOD & LIQUORS","Tobacco","RENEW","REA","60649","CHICAGO","IL",,"2010-12-16T00:00:00.000","2012-12-15T00:00:00.000"
"2953 W. BELMONT, INC.","CANOS VILLAGE","Music and Dance","RENEW","REA","60618","CHICAGO","IL",,"2010-12-16T00:00:00.000","2012-12-15T00:00:00.000"
"2953 W. BELMONT, INC.","CANOS VILLAGE","Tavern","RENEW","REA","60618","CHICAGO","IL",,"2010-12-16T00:00:00.000","2012-12-15T00:00:00.000"
"SAAN & BAADA CORP.","SERENITY SPA","Massage Establishment","RENEW","REA","60631","CHICAGO","IL",,"2010-08-16T00:00:00.000","2012-08-15T00:00:00.000"
"ELAINE Y F KONG","SENINA BEAUTY HOUSE","Massage Establishment","RENEW","REA","60616","CHICAGO","IL",,"2010-06-16T00:00:00.000","2012-06-15T00:00:00.000"
"ELAINE Y F KONG","SENINA BEAUTY HOUSE","Limited Business License","RENEW","REA","60616","CHICAGO","IL",,"2010-06-16T00:00:00.000","2012-06-15T00:00:00.000"
