sweep,n_rows,n_cols,cell_w,expr,trace,wall_s,rss_mb,out_bytes,trace_events,trace_bytes
S1,5000,16,20,3expr,off,0.02,4.4,1619188,0,0
S1,25000,16,20,3expr,off,0.10,16.4,8173236,0,0
S1,100000,16,20,3expr,off,0.34,23.5,32825367,0,0
S1,500000,16,20,3expr,off,1.39,23.8,165905007,0,0
S1,2000000,16,20,3expr,off,5.34,23.5,668952661,0,0
S2,5000,16,20,3expr,on,0.02,4.6,1619188,540,155296
S2,25000,16,20,3expr,on,0.08,17.4,8173236,786,775297
S2,100000,16,20,3expr,on,0.32,24.9,32825367,2147,3100298
S2,500000,16,20,3expr,on,1.31,24.9,165905007,9912,15500298
S3,100000,4,20,3expr,off,0.13,15.5,7625248,0,0
S3,100000,16,20,3expr,off,0.28,23.9,32825367,0,0
S3,100000,64,20,3expr,off,1.06,21.8,133625952,0,0
S3,100000,256,20,3expr,off,3.80,22.2,536826893,0,0
S3,100000,1024,20,3expr,off,15.41,24.2,2149632175,0,0
S4,100000,4,20,3expr,on,0.14,18.5,7625248,3627,3100195
S4,100000,16,20,3expr,on,0.29,24.9,32825367,2147,3100298
S4,100000,64,20,3expr,on,1.00,22.5,133625952,2102,3100730
S4,100000,256,20,3expr,on,3.48,22.2,536826893,5250,3102615
S5,25000,16,10,3expr,off,0.06,10.5,5172989,0,0
S5,25000,16,100,3expr,off,0.21,21.5,32173346,0,0
S5,25000,16,1000,3expr,off,1.43,21.2,302172882,0,0
S6,100000,16,20,passthrough,off,0.25,22.0,28556624,0,0
S6,100000,16,20,3expr,off,0.33,23.6,32825367,0,0
S6,100000,16,20,passthrough,on,0.22,23.0,28556624,2147,3100304
S6,100000,16,20,3expr,on,0.33,24.8,32825367,2147,3100298
