sweep,n_rows,n_cols,cell_w,expr,trace,wall_s,rss_mb,out_bytes,trace_events,trace_bytes
S1,5000,16,20,3expr,off,0.02,4.1,1619188,0,0
S1,25000,16,20,3expr,off,0.10,16.1,8173236,0,0
S1,100000,16,20,3expr,off,0.35,23.4,32825367,0,0
S1,500000,16,20,3expr,off,1.70,23.4,165905007,0,0
S1,2000000,16,20,3expr,off,6.52,23.8,668952661,0,0
S2,5000,16,20,3expr,on,0.02,4.5,1619188,540,155296
S2,25000,16,20,3expr,on,0.10,17.2,8173236,786,775297
S2,100000,16,20,3expr,on,0.39,24.8,32825367,2147,3100298
S2,500000,16,20,3expr,on,1.64,24.8,165905007,9912,15500298
S3,100000,4,20,3expr,off,0.15,15.4,7625248,0,0
S3,100000,16,20,3expr,off,0.33,23.5,32825367,0,0
S3,100000,64,20,3expr,off,1.24,21.9,133625952,0,0
S3,100000,256,20,3expr,off,4.60,22.0,536826893,0,0
S3,100000,1024,20,3expr,off,18.32,24.1,2149632175,0,0
S4,100000,4,20,3expr,on,0.17,18.4,7625248,3627,3100195
S4,100000,16,20,3expr,on,0.38,24.9,32825367,2147,3100298
S4,100000,64,20,3expr,on,1.24,22.2,133625952,2102,3100730
S4,100000,256,20,3expr,on,4.61,22.1,536826893,5250,3102615
S5,25000,16,10,3expr,off,0.11,10.1,5172989,0,0
S5,25000,16,100,3expr,off,0.24,21.5,32173346,0,0
S5,25000,16,1000,3expr,off,1.51,21.1,302172882,0,0
S6,100000,16,20,passthrough,off,0.33,22.1,28556624,0,0
S6,100000,16,20,3expr,off,0.41,23.4,32825367,0,0
S6,100000,16,20,passthrough,on,0.28,23.0,28556624,2147,3100304
S6,100000,16,20,3expr,on,0.43,25.0,32825367,2147,3100298
