sweep,n_rows,n_cols,cell_w,expr,trace,wall_s,rss_mb,out_bytes,trace_events,trace_bytes
S1,5000,16,20,3expr,off,0.02,4.1,1619188,0,0
S1,25000,16,20,3expr,off,0.10,16.4,8173236,0,0
S1,100000,16,20,3expr,off,0.38,23.6,32825367,0,0
S1,500000,16,20,3expr,off,1.78,23.6,165905007,0,0
S1,2000000,16,20,3expr,off,6.75,23.6,668952661,0,0
S2,5000,16,20,3expr,on,0.02,4.6,1619188,540,155296
S2,25000,16,20,3expr,on,0.09,17.2,8173236,786,775297
S2,100000,16,20,3expr,on,0.44,24.8,32825367,2147,3100298
S2,500000,16,20,3expr,on,1.66,25.0,165905007,9912,15500298
S3,100000,4,20,3expr,off,0.16,15.5,7625248,0,0
S3,100000,16,20,3expr,off,0.34,23.5,32825367,0,0
S3,100000,64,20,3expr,off,1.25,21.8,133625952,0,0
S3,100000,256,20,3expr,off,4.60,22.2,536826893,0,0
S3,100000,1024,20,3expr,off,19.64,23.9,2149632175,0,0
S4,100000,4,20,3expr,on,0.19,18.5,7625248,3627,3100195
S4,100000,16,20,3expr,on,0.34,24.9,32825367,2147,3100298
S4,100000,64,20,3expr,on,1.16,22.4,133625952,2102,3100730
S4,100000,256,20,3expr,on,4.44,22.2,536826893,5250,3102615
S5,25000,16,10,3expr,off,0.09,10.6,5172989,0,0
S5,25000,16,100,3expr,off,0.21,21.8,32173346,0,0
S5,25000,16,1000,3expr,off,1.37,21.2,302172882,0,0
S6,100000,16,20,passthrough,off,0.27,21.9,28556624,0,0
S6,100000,16,20,3expr,off,0.38,23.2,32825367,0,0
S6,100000,16,20,passthrough,on,0.28,23.0,28556624,2147,3100304
S6,100000,16,20,3expr,on,0.37,24.8,32825367,2147,3100298
