sweep,n_rows,n_cols,cell_w,expr,trace,wall_s,rss_mb,out_bytes,trace_events,trace_bytes
S1,5000,16,20,3expr,off,0.08,4.2,1619188,0,0
S1,25000,16,20,3expr,off,0.50,16.8,8173236,0,0
S1,100000,16,20,3expr,off,1.84,25.0,32825367,0,0
S1,500000,16,20,3expr,off,9.42,25.1,165905007,0,0
S1,2000000,16,20,3expr,off,36.23,25.1,668952661,0,0
S2,5000,16,20,3expr,on,0.09,4.0,1619188,540,155296
S2,25000,16,20,3expr,on,0.49,16.9,8173236,786,775297
S2,100000,16,20,3expr,on,1.81,24.9,32825367,2147,3100298
S2,500000,16,20,3expr,on,9.21,25.1,165905007,9912,15500298
S3,100000,4,20,3expr,off,1.52,18.1,7625248,0,0
S3,100000,16,20,3expr,off,1.87,25.0,32825367,0,0
S3,100000,64,20,3expr,off,2.68,22.4,133625952,0,0
S3,100000,256,20,3expr,off,6.11,22.0,536826893,0,0
S3,100000,1024,20,3expr,off,22.78,23.7,2149632175,0,0
S4,100000,4,20,3expr,on,1.56,18.2,7625248,3627,3100195
S4,100000,16,20,3expr,on,1.86,24.9,32825367,2147,3100298
S4,100000,64,20,3expr,on,2.56,22.4,133625952,2102,3100730
S4,100000,256,20,3expr,on,6.65,22.2,536826893,5250,3102615
S5,25000,16,10,3expr,off,0.46,11.2,5172989,0,0
S5,25000,16,100,3expr,off,0.53,21.8,32173346,0,0
S5,25000,16,1000,3expr,off,2.08,21.4,302172882,0,0
S6,100000,16,20,passthrough,off,0.35,23.1,28556624,0,0
S6,100000,16,20,3expr,off,1.78,24.9,32825367,0,0
S6,100000,16,20,passthrough,on,0.32,22.9,28556624,2147,3100304
S6,100000,16,20,3expr,on,1.79,24.9,32825367,2147,3100298
