sweep,n_rows,n_cols,cell_w,expr,trace,wall_s,rss_mb,out_bytes,trace_bytes
S1,5000,16,20,3expr,off,0.11,22.0,1619188,0
S1,25000,16,20,3expr,off,0.58,106.8,8173236,0
S1,100000,16,20,3expr,off,2.20,258.4,32825367,0
S1,500000,16,20,3expr,off,9.56,255.2,165905007,0
S1,2000000,16,20,3expr,off,38.32,178.0,668952661,0
S2,5000,16,20,3expr,on,0.33,22.0,1619188,14490108
S2,25000,16,20,3expr,on,1.59,106.8,8173236,72661438
S2,100000,16,20,3expr,on,6.12,258.4,32825367,291008852
S2,500000,16,20,3expr,on,29.87,255.3,165905007,1459931649
S3,100000,4,20,3expr,off,1.88,399.5,7625248,0
S3,100000,16,20,3expr,off,2.19,258.4,32825367,0
S3,100000,64,20,3expr,off,3.91,53.4,133625952,0
S3,100000,256,20,3expr,off,12.66,26.6,536826893,0
S3,100000,1024,20,3expr,off,48.41,19.3,2149632175,0
S4,100000,4,20,3expr,on,3.79,399.8,7625248,106208504
S4,100000,16,20,3expr,on,6.14,258.2,32825367,291008852
S4,100000,64,20,3expr,on,17.05,53.2,133625952,1035010312
S4,100000,256,20,3expr,on,ERR-1,0.0,355082240,2674118656
S5,25000,16,10,3expr,off,0.57,103.8,5172989,0
S5,25000,16,100,3expr,off,0.68,44.2,32173346,0
S5,25000,16,1000,3expr,off,1.91,14.4,302172882,0
S6,100000,16,20,passthrough,off,0.98,258.4,28556624,0
S6,100000,16,20,3expr,off,2.23,258.5,32825367,0
S6,100000,16,20,passthrough,on,4.26,258.4,28556624,246171407
S6,100000,16,20,3expr,on,6.27,258.1,32825367,291008852
