sweep,n_rows,n_cols,cell_w,expr,trace,wall_s,rss_mb,out_bytes,trace_events,trace_bytes
S1,5000,16,20,3expr,off,0.09,4.2,1619188,0,0
S1,25000,16,20,3expr,off,0.36,17.0,8173236,0,0
S1,100000,16,20,3expr,off,1.36,24.8,32825367,0,0
S1,500000,16,20,3expr,off,6.94,25.1,165905007,0,0
S1,2000000,16,20,3expr,off,26.72,25.2,668952661,0,0
S2,5000,16,20,3expr,on,0.08,4.2,1619188,540,155296
S2,25000,16,20,3expr,on,0.38,16.8,8173236,786,775297
S2,100000,16,20,3expr,on,1.33,24.6,32825367,2147,3100298
S2,500000,16,20,3expr,on,6.63,24.9,165905007,9912,15500298
S3,100000,4,20,3expr,off,1.31,18.2,7625248,0,0
S3,100000,16,20,3expr,off,1.50,25.0,32825367,0,0
S3,100000,64,20,3expr,off,1.96,22.2,133625952,0,0
S3,100000,256,20,3expr,off,4.76,21.7,536826893,0,0
S3,100000,1024,20,3expr,off,18.03,23.5,2149632175,0,0
S4,100000,4,20,3expr,on,1.19,18.2,7625248,3627,3100195
S4,100000,16,20,3expr,on,1.33,24.8,32825367,2147,3100298
S4,100000,64,20,3expr,on,1.74,22.1,133625952,2102,3100730
S4,100000,256,20,3expr,on,4.95,22.1,536826893,5250,3102615
S5,25000,16,10,3expr,off,0.39,11.0,5172989,0,0
S5,25000,16,100,3expr,off,0.48,22.0,32173346,0,0
S5,25000,16,1000,3expr,off,1.53,21.1,302172882,0,0
S6,100000,16,20,passthrough,off,0.34,22.8,28556624,0,0
S6,100000,16,20,3expr,off,1.45,24.8,32825367,0,0
S6,100000,16,20,passthrough,on,0.30,22.9,28556624,2147,3100304
S6,100000,16,20,3expr,on,1.31,24.6,32825367,2147,3100298
