sweep,n_rows,n_cols,cell_w,expr,trace,wall_s,rss_mb,out_bytes,trace_events,trace_bytes
S1,5000,16,20,3expr,off,0.12,2.5,1619188,0,0
S1,25000,16,20,3expr,off,0.63,9.0,8173236,0,0
S1,100000,16,20,3expr,off,2.27,13.0,32825367,0,0
S1,500000,16,20,3expr,off,10.77,13.1,165905007,0,0
S1,2000000,16,20,3expr,off,42.14,13.1,668952661,0,0
S2,5000,16,20,3expr,on,0.15,2.5,1619188,540,155296
S2,25000,16,20,3expr,on,0.63,9.1,8173236,786,775297
S2,100000,16,20,3expr,on,2.26,13.1,32825367,2147,3100298
S2,500000,16,20,3expr,on,10.53,13.1,165905007,9912,15500298
S3,100000,4,20,3expr,off,1.36,9.1,7625248,0,0
S3,100000,16,20,3expr,off,2.23,13.1,32825367,0,0
S3,100000,64,20,3expr,off,4.96,11.4,133625952,0,0
S3,100000,256,20,3expr,off,16.91,11.1,536826893,0,0
S3,100000,1024,20,3expr,off,65.38,11.6,2149632175,0,0
S4,100000,4,20,3expr,on,1.57,9.2,7625248,3627,3100195
S4,100000,16,20,3expr,on,2.15,13.1,32825367,2147,3100298
S4,100000,64,20,3expr,on,5.00,11.4,133625952,2102,3100730
S4,100000,256,20,3expr,on,17.50,11.2,536826893,5250,3102615
S5,25000,16,10,3expr,off,0.58,6.2,5172989,0,0
S5,25000,16,100,3expr,off,0.98,11.4,32173346,0,0
S5,25000,16,1000,3expr,off,3.48,11.0,302172882,0,0
S6,100000,16,20,passthrough,off,0.88,13.0,28556624,0,0
S6,100000,16,20,3expr,off,2.32,13.1,32825367,0,0
S6,100000,16,20,passthrough,on,0.91,13.0,28556624,2147,3100304
S6,100000,16,20,3expr,on,2.31,13.1,32825367,2147,3100298
