sweep,n_rows,n_cols,cell_w,expr,trace,wall_s,rss_mb,out_bytes,trace_events,trace_bytes
S1,5000,16,20,3expr,off,0.14,2.5,1619188,0,0
S1,25000,16,20,3expr,off,0.70,9.0,8173236,0,0
S1,100000,16,20,3expr,off,2.77,13.0,32825367,0,0
S1,500000,16,20,3expr,off,11.34,13.1,165905007,0,0
S1,2000000,16,20,3expr,off,45.72,13.1,668952661,0,0
S2,5000,16,20,3expr,on,0.37,2.5,1619188,115004,14490192
S2,25000,16,20,3expr,on,1.84,9.1,8173236,575004,72661522
S2,100000,16,20,3expr,on,7.23,13.1,32825367,2300004,291008936
S2,500000,16,20,3expr,on,35.10,13.0,165905007,11500004,1459931733
S3,100000,4,20,3expr,off,1.45,9.2,7625248,0,0
S3,100000,16,20,3expr,off,2.45,13.1,32825367,0,0
S3,100000,64,20,3expr,off,5.25,11.2,133625952,0,0
S3,100000,256,20,3expr,off,17.11,11.2,536826893,0,0
