sweep,n_rows,n_cols,cell_w,expr,trace,wall_s,rss_mb,out_bytes,trace_events,trace_bytes
S1,5000,16,20,3expr,off,0.02,9.0,1619188,0,0
S1,25000,16,20,3expr,off,0.07,21.6,8173236,0,0
S1,100000,16,20,3expr,off,0.27,29.2,32825367,0,0
S1,500000,16,20,3expr,off,1.18,29.3,165905007,0,0
S1,2000000,16,20,3expr,off,4.72,30.4,668952661,0,0
S2,5000,16,20,3expr,on,0.03,9.1,1619188,552,155299
S2,25000,16,20,3expr,on,0.15,23.1,8173236,786,775300
S2,100000,16,20,3expr,on,0.28,30.4,32825367,2151,3100301
S2,500000,16,20,3expr,on,1.06,30.7,165905007,9997,15500301
S3,100000,4,20,3expr,off,0.18,21.3,7625248,0,0
S3,100000,16,20,3expr,off,0.28,29.4,32825367,0,0
S3,100000,64,20,3expr,off,0.73,28.0,133625952,0,0
S3,100000,256,20,3expr,off,2.78,29.1,536826893,0,0
S3,100000,1024,20,3expr,off,12.42,31.6,2149632175,0,0
S4,100000,4,20,3expr,on,0.15,24.2,7625248,3620,3100198
S4,100000,16,20,3expr,on,0.25,30.6,32825367,2151,3100301
S4,100000,64,20,3expr,on,0.76,29.1,133625952,2103,3100733
S4,100000,256,20,3expr,on,2.64,29.1,536826893,5187,3102618
S5,25000,16,10,3expr,off,0.07,16.0,5172989,0,0
S5,25000,16,100,3expr,off,0.13,28.7,32173346,0,0
S5,25000,16,1000,3expr,off,0.93,27.4,302172882,0,0
S6,100000,16,20,passthrough,off,0.21,28.5,28556624,0,0
S6,100000,16,20,3expr,off,0.30,29.5,32825367,0,0
S6,100000,16,20,passthrough,on,0.16,30.4,28556624,2151,3100307
S6,100000,16,20,3expr,on,0.26,29.9,32825367,2151,3100301
