sweep,n_rows,n_cols,cell_w,expr,trace,wall_s,rss_mb,out_bytes,trace_events,trace_bytes
S1,5000,16,20,3expr,off,0.27,2.5,1619188,0,0
S1,25000,16,20,3expr,off,1.59,9.1,8173236,0,0
S1,100000,16,20,3expr,off,4.23,13.1,32825367,0,0
S1,500000,16,20,3expr,off,21.59,13.0,165905007,0,0
S1,2000000,16,20,3expr,off,64.35,13.0,668952661,0,0
S2,5000,16,20,3expr,on,0.79,2.5,1619188,115004,14490216
S2,25000,16,20,3expr,on,4.63,9.1,8173236,575004,72661546
S2,100000,16,20,3expr,on,17.17,13.0,32825367,2300004,291008960
S2,500000,16,20,3expr,on,50.70,13.1,165905007,11500004,1459931757
S3,100000,4,20,3expr,off,2.92,9.2,7625248,0,0
S3,100000,16,20,3expr,off,4.37,13.1,32825367,0,0
S3,100000,64,20,3expr,off,8.58,11.4,133625952,0,0
S3,100000,256,20,3expr,off,26.51,11.2,536826893,0,0
S3,100000,1024,20,3expr,off,80.53,11.6,2149632175,0,0
S4,100000,4,20,3expr,on,9.40,9.2,7625248,1100004,106208612
S4,100000,16,20,3expr,on,16.24,13.1,32825367,2300004,291008960
S4,100000,64,20,3expr,on,36.15,11.2,133625952,7100004,1035010420
S4,100000,256,20,3expr,on,82.10,11.2,536826893,26300004,4042212861
S5,25000,16,10,3expr,off,0.91,6.2,5172989,0,0
S5,25000,16,100,3expr,off,1.10,11.4,32173346,0,0
S5,25000,16,1000,3expr,off,6.21,11.0,302172882,0,0
S6,100000,16,20,passthrough,off,1.84,13.0,28556624,0,0
S6,100000,16,20,3expr,off,4.27,13.0,32825367,0,0
S6,100000,16,20,passthrough,on,10.51,13.0,28556624,2000004,246171515
S6,100000,16,20,3expr,on,15.86,12.0,32825367,2300004,291008960
