sweep,n_rows,n_cols,cell_w,expr,trace,wall_s,rss_mb,out_bytes,trace_events,trace_bytes
S1,5000,16,20,3expr,off,0.01,6.9,1619188,0,0
S1,25000,16,20,3expr,off,0.06,19.1,8173236,0,0
S1,100000,16,20,3expr,off,0.21,26.6,32825367,0,0
S1,500000,16,20,3expr,off,1.36,26.4,165905007,0,0
S1,2000000,16,20,3expr,off,3.90,26.6,668952661,0,0
S2,5000,16,20,3expr,on,0.01,7.2,1619188,540,155353
S2,25000,16,20,3expr,on,0.06,19.9,8173236,786,775354
S2,100000,16,20,3expr,on,0.20,27.8,32825367,2147,3100355
S2,500000,16,20,3expr,on,1.04,27.8,165905007,9912,15500355
S3,100000,4,20,3expr,off,0.13,18.8,7625248,0,0
S3,100000,16,20,3expr,off,0.20,26.6,32825367,0,0
S3,100000,64,20,3expr,off,0.66,24.4,133625952,0,0
S3,100000,256,20,3expr,off,1.92,24.8,536826893,0,0
S3,100000,1024,20,3expr,off,8.28,26.9,2149632175,0,0
S4,100000,4,20,3expr,on,0.12,21.6,7625248,3627,3100252
S4,100000,16,20,3expr,on,0.22,27.7,32825367,2147,3100355
S4,100000,64,20,3expr,on,0.58,24.8,133625952,2102,3100787
S4,100000,256,20,3expr,on,2.00,24.9,536826893,5250,3102672
S5,25000,16,10,3expr,off,0.05,13.3,5172989,0,0
S5,25000,16,100,3expr,off,0.10,24.2,32173346,0,0
S5,25000,16,1000,3expr,off,0.52,23.8,302172882,0,0
S6,100000,16,20,passthrough,off,0.15,24.8,28556624,0,0
S6,100000,16,20,3expr,off,0.22,26.6,32825367,0,0
S6,100000,16,20,passthrough,on,0.13,25.7,28556624,2147,3100361
S6,100000,16,20,3expr,on,0.20,27.7,32825367,2147,3100355
