sweep,n_rows,n_cols,cell_w,expr,trace,wall_s,rss_mb,out_bytes,trace_events,trace_bytes
S1,5000,16,20,3expr,off,0.26,2.6,1619188,0,0
S1,25000,16,20,3expr,off,1.48,9.2,8173236,0,0
S1,100000,16,20,3expr,off,4.41,12.1,32825367,0,0
S1,500000,16,20,3expr,off,21.07,13.1,165905007,0,0
S1,2000000,16,20,3expr,off,60.50,13.2,668952661,0,0
S2,5000,16,20,3expr,on,0.20,2.6,1619188,541,155474
S2,25000,16,20,3expr,on,1.31,9.2,8173236,787,775475
S2,100000,16,20,3expr,on,4.42,13.1,32825367,2148,3100476
S2,500000,16,20,3expr,on,20.02,13.1,165905007,9913,15500476
S3,100000,4,20,3expr,off,3.45,7.5,7625248,0,0
S3,100000,16,20,3expr,off,4.77,13.2,32825367,0,0
S3,100000,64,20,3expr,off,9.95,11.4,133625952,0,0
S3,100000,256,20,3expr,off,27.72,11.2,536826893,0,0
S3,100000,1024,20,3expr,off,77.74,11.8,2149632175,0,0
S4,100000,4,20,3expr,on,2.81,9.4,7625248,3628,3100271
S4,100000,16,20,3expr,on,4.97,13.2,32825367,2148,3100476
S4,100000,64,20,3expr,on,10.62,11.5,133625952,2103,3101340
S4,100000,256,20,3expr,on,27.87,11.3,536826893,5250,3105109
S5,25000,16,10,3expr,off,1.34,6.4,5172989,0,0
S5,25000,16,100,3expr,off,1.48,11.5,32173346,0,0
S5,25000,16,1000,3expr,off,6.75,11.1,302172882,0,0
S6,100000,16,20,passthrough,off,1.71,13.1,28556624,0,0
S6,100000,16,20,3expr,off,5.38,13.2,32825367,0,0
S6,100000,16,20,passthrough,on,1.54,13.1,28556624,2147,3100444
S6,100000,16,20,3expr,on,5.18,13.1,32825367,2148,3100476
