sweep,n_rows,n_cols,cell_w,expr,trace,wall_s,rss_mb,out_bytes,trace_events,trace_bytes
S1,5000,16,20,3expr,off,0.16,22.0,1619188,0,0
S1,25000,16,20,3expr,off,0.74,106.8,8173236,0,0
S1,100000,16,20,3expr,off,2.65,258.3,32825367,0,0
S1,500000,16,20,3expr,off,11.12,255.1,165905007,0,0
S1,2000000,16,20,3expr,off,46.16,178.1,668952661,0,0
S2,5000,16,20,3expr,on,0.39,21.9,1619188,115004,14490192
S2,25000,16,20,3expr,on,2.15,106.4,8173236,575004,72661522
S2,100000,16,20,3expr,on,7.77,258.2,32825367,2300004,291008936
S2,500000,16,20,3expr,on,35.82,255.0,165905007,11500004,1459931733
S3,100000,4,20,3expr,off,1.89,399.5,7625248,0,0
S3,100000,16,20,3expr,off,2.65,258.3,32825367,0,0
S3,100000,64,20,3expr,off,5.29,53.3,133625952,0,0
S3,100000,256,20,3expr,off,16.48,26.6,536826893,0,0
