sweep,n_rows,n_cols,cell_w,expr,trace,wall_s,rss_mb,out_bytes,trace_events,trace_bytes
S1,5000,16,20,3expr,off,0.21,2.6,1619188,0,0
S1,25000,16,20,3expr,off,0.94,9.1,8173236,0,0
S1,100000,16,20,3expr,off,2.96,13.2,32825367,0,0
S1,500000,16,20,3expr,off,16.17,13.2,165905007,0,0
S1,2000000,16,20,3expr,off,59.37,13.2,668952661,0,0
S2,5000,16,20,3expr,on,0.45,2.6,1619188,115004,14490216
S2,25000,16,20,3expr,on,1.80,9.2,8173236,575004,72661546
S2,100000,16,20,3expr,on,8.18,13.2,32825367,2300004,291008960
S2,500000,16,20,3expr,on,40.92,13.1,165905007,11500004,1459931757
S3,100000,4,20,3expr,off,2.04,9.4,7625248,0,0
S3,100000,16,20,3expr,off,2.81,13.1,32825367,0,0
S3,100000,64,20,3expr,off,7.19,11.5,133625952,0,0
S3,100000,256,20,3expr,off,23.89,11.5,536826893,0,0
S3,100000,1024,20,3expr,off,78.49,11.9,2149632175,0,0
S4,100000,4,20,3expr,on,4.39,9.4,7625248,1100004,106208612
S4,100000,16,20,3expr,on,7.96,13.1,32825367,2300004,291008960
S4,100000,64,20,3expr,on,22.93,11.5,133625952,7100004,1035010420
S4,100000,256,20,3expr,on,72.87,11.3,536826893,26300004,4042212861
S5,25000,16,10,3expr,off,0.81,6.4,5172989,0,0
S5,25000,16,100,3expr,off,0.93,11.4,32173346,0,0
S5,25000,16,1000,3expr,off,5.25,11.1,302172882,0,0
S6,100000,16,20,passthrough,off,1.38,13.1,28556624,0,0
S6,100000,16,20,3expr,off,3.13,13.2,32825367,0,0
S6,100000,16,20,passthrough,on,5.04,13.2,28556624,2000004,246171515
S6,100000,16,20,3expr,on,8.29,13.1,32825367,2300004,291008960
